text_a,text_b,label
US House Republicans eye reluctant Ryan for speaker,Les républicains de la Chambre des États-Unis envisagent à contrecœur Ryan pour le poste de président.,5
US House Republicans eye reluctant Ryan for speaker,"Les républicains de la Chambre des États-Unis envisagent Ryan, bien qu'il soit réticent, pour le poste de président.",2
UK Sky News cameraman killed in Egypt,Journaliste britannique blessé lors d'un reportage en Égypte.,2
UK Sky News cameraman killed in Egypt,Un caméraman de Sky News UK tué en Égypte.,4
Sailboat sailing on a cloudy day.,Un voilier navigue sous un ciel clair.,3
Sailboat sailing on a cloudy day.,Voilier naviguant par une journée brumeuse.,4
Senate confirms Yellen as Fed head,Le ciel aujourd'hui est particulièrement bleu et ensoleillé.,0
US House Republicans eye reluctant Ryan for speaker,Les républicains de la Chambre des représentants des États-Unis envisagent à contrecœur Ryan pour le poste de président.,5
Death toll in Lebanon bombings rises to 47,Le nombre de victimes au Liban s'élève à 30.,3
Death toll in Lebanon bombings rises to 47,Le nombre de morts dans les attentats au Liban s'élève à 49.,4
Senate confirms Yellen as Fed head,Le Sénat approuve la nomination de Yellen à la tête de la Réserve fédérale,4
Death toll in Lebanon bombings rises to 47,Le nombre de morts dans les attentats au Liban s'élève à 47.,5
US House Republicans eye reluctant Ryan for speaker,Les Républicains du Congrès américain envisagent à contrecœur McCain pour président.,3
Sailboat sailing on a cloudy day.,Un voilier navigue sous un ciel nuageux.,2
Death toll in Lebanon bombings rises to 47,Les attaques à la bombe au Liban ont provoqué une forte augmentation du nombre de victimes.,1
Senate confirms Yellen as Fed head,La nomination de Yellen à la tête de la Réserve fédérale a été approuvée par le Sénat.,2
UK Sky News cameraman killed in Egypt,Caméraman de Sky News UK tué en Égypte,5
Senate confirms Yellen as Fed head,Le Sénat américain approuve la nomination de Janet Yellen à la présidence de la Réserve fédérale.,1
US House Republicans eye reluctant Ryan for speaker,La température à Paris aujourd'hui devrait atteindre les 25 degrés Celsius.,0
Sailboat sailing on a cloudy day.,Le vent souffle sur les voiles blanches en pleine mer.,1
Sailboat sailing on a cloudy day.,Les vagues se brisent doucement contre la coque du voilier.,1
Sailboat sailing on a cloudy day.,Voilier naviguant lors d'une journée nuageuse.,5
Death toll in Lebanon bombings rises to 47,Le nombre de blessés dans les explosions au Liban s'élève à plus de cinquante.,2
Sailboat sailing on a cloudy day.,Un voilier navigue sous un ciel couvert.,2
US House Republicans eye reluctant Ryan for speaker,"Les républicains à la Chambre des représentants des États-Unis envisagent Ryan, malgré ses réticences, pour le poste de président.",1
US House Republicans eye reluctant Ryan for speaker,Les républicains de la Chambre des États-Unis envisagent à contrecœur Ryan pour le poste de président,4
Sailboat sailing on a cloudy day.,Les fraises sont mûres et sucrées cette saison.,0
Death toll in Lebanon bombings rises to 47,Le printemps est la saison idéale pour planter des tulipes dans son jardin.,0
Death toll in Lebanon bombings rises to 47,Les attaques à la bombe au Liban ont provoqué de nombreuses victimes et des dégâts considérables.,1
Death toll in Lebanon bombings rises to 47,Le nombre de victimes des explosions au Liban s'élève désormais à 47.,2
UK Sky News cameraman killed in Egypt,Les grenouilles sautent souvent plus haut pendant la pluie.,0
Sailboat sailing on a cloudy day.,Voilier naviguant par une journée ensoleillée.,3
UK Sky News cameraman killed in Egypt,Un journaliste britannique a été blessé au Caire.,2
Sailboat sailing on a cloudy day.,Voilier naviguant un jour nuageux.,5
UK Sky News cameraman killed in Egypt,Des manifestations en Égypte ont entraîné plusieurs blessés.,1
UK Sky News cameraman killed in Egypt,J'ai planté des tomates et des poivrons dans mon jardin hier.,0
Senate confirms Yellen as Fed head,Le chat dort sur le canapé.,0
US House Republicans eye reluctant Ryan for speaker,Les cerisiers sont en pleine floraison au Japon au printemps.,0
